,,,,Jokic,59.5,79.4,4724.3,,,1,11.7,12.2
,,Giannis,Giannis,,54.7,73.7,4031.39,,,2,10.3,11.1
Harden,Harden,,,,54.1,73,3949.3,,,4,11,11
Luka,,Luka,,,51.6,75.4,3890.64,,,3,11.8,12.1
Steph,,,,,49.8,72.8,3625.44,,,9,11,11
Dame,,,,,47.5,76,3610,,,7,10.9,11.0.1
,,,,KAT,49,73,3577,GOOD LUCK?,,5,11.8,13.3
,,Tatum,Tatum,,45.9,77.8,3571.02,,,10,11.2,12.1.1
,Beal,,,,46.5,74,3441,UNVAX,,6,11.5,12.3
,,,Zion,,47.7,72,3434.4,OFF SEASON BROKEN FOOT - B2Bs GROWTH?,,13,10.8,12.1.1
,,,,Embiid,49.75,69,3432.75,,,15,10.5,12.1.1
,PG13,PG13,,,45.4,75.4,3423.16,ROTO LOVES,g,8,11.6,12.2
,,,Sabonis,Sabonis,45.5,75.1,3417.05,NEW COACH,,20,11.6,12.2
,,,AD,AD,47,72.5,3407.5,LOWER IF NOT CENTER,,21,11.5,13.2
Fox,,,,,44.75,76,3401,ROTO LOVES,,14,12.9,13.1
,,Lebron,Lebron,,46.8,72.5,3393,,,16,12.3,13.2
,,,,Bam,42.9,79,3389.1,,y,28,11.8,12.2
,,KD,KD,,49,69,3381,,g,11,11,11
Trae,,,,,43.2,78,3369.6,,,17,11.6,12.1
VanVleet,VanVleet,,,,44.7,75,3352.5,,,18,11.2,12.2.1
,,,,Vucevic,43.5,77,3349.5,,g,12,10,10
,Jimmy,Jimmy,,,46,70,3220,,,25,11,12.2
,,,Julius,,41.6,77,3203.2,,g,22,12,12.1
Kyrie,Kyrie,,,,48.7,65.7,3199.59,VACCINATED? PROBABLY NOT,n,31,11,11
Lamelo,,,,,41.5,77,3195.5,ROTO LOVES - 19,,24,10.7,11.2
,,,,Gobert,39.9,80,3192,,g,23,12.4,13.2.1
Mitchell,Mitchell,,,,41.3,77.2,3188.36,,gg,19,12.4,13.2.1
,LaVine,,,,40.8,77,3141.6,,y,43,10,10
Russ,,,,,42.9,72.5,3110.25,,,34,11.5,13.2
Shai,Shai,,,,43.8,70.5,3087.9,WILL HE PLAY PLAYOFFS?,g,26,10.9,13.3.1
,,Tobias,,,38.3,80,3064,,,37,11.8,12.1.1
Dejounte,Dejounte,,,,38.6,77.2,2979.92,,g,27,12.6,13.2
CP3,,,,,40,74,2960,,,33,12.7,14.3
Booker,Booker,,,,39.7,74.5,2957.65,MAYBE CONSIDER EARLIER AS TRADE,,38,13.1,14.3
,,Michael Porter Jr,Michael Porter Jr,,40.5,73,2956.5,,,32,11,12.2
,,,Wood,Wood,41,72.1,2956.1,,,40,11.1,13.2.1
Jrue,Jrue,,,,41,72,2952,,g,29,10.3,11.1
,Jaylen,Jaylen,,,40.7,72,2930.4,IF HE STARTS THE SEASON HEALTHY,y,41,10.6,12.1.1
,,,,Capela,40.3,72.7,2929.81,,g,35,11.6,12.1
,Middleton,Middleton,,,38,77,2926,,,39,10.5,11.1
,McCollum,,,,39.5,74,2923,,y,47,10.9,11.0.1
,,,,Ayton,37.9,77.1,2922.09,ROTO LOVES,,36,13.1,14.3
,,Ingram,,,38.4,76,2918.4,,,45,11.7,12.1.1
Ja Morant,,,,,37,76.9,2845.3,,,44,11.9,12.1
Ben Simmons,,,,,39.7,71,2818.7,LANDS IN BETTER SITUATION?,gg,30,??,??
Sexton,Sexton,,,,35.75,77.5,2770.625,,,49,12.1,13.2
